Title,Author,Lector,Book_Score,Number_of_ratings_book,Lector_Score,Number_of_ratings_lector,Duration,Original_Category,Format,Language,Publication_Date,Volume_Info,Gender,Category
Poradnik prawdziwej damy. Dobre maniery a morderstwo,Dianne Freeman,Magdalena Karel,4.4,304.0,4.6,287.0,10.38,"Powieści, Kryminały, Powieści kryminalne, Romans",Audiobook,Polski,2023-01-25,Nie dotyczy,F,powieści
Sedno. Tom 2. Piętno dzieciństwa,Katarzyna Kielecka,Joanna Domańska,4.7,287.0,4.8,287.0,13.92,"Powieści, Powieści obyczajowe",Audiobook,Polski,2020-05-19,Tom 2 - Sedno,F,powieści
Bądź niezniszczalna. Jak przejść przez każdy kryzys,Agata Komorowska,Agnieszka Postrzygacz,4.6,298.0,4.8,287.0,4.77,Rozwój osobisty,Audiobook,Polski,2022-09-21,Nie dotyczy,F,rozwój osobisty
Księga Całości. Tom 1. Północna granica,Feliks W. Kres,Wojciech Żołądkowicz,4.3,307.0,4.7,286.0,10.0,Fantastyka,Audiobook,Polski,2021-05-07,Tom 1 - Księga Całości,M,fantastyka
Lepsi od Pana Boga: reportaże z Polski ludowej,Janusz Rolicki,Mateusz Drozda,4.5,290.0,4.8,286.0,9.68,"Literatura faktu, Społeczeństwo i kultura",Audiobook,Polski,2022-03-25,Seria reporterska,M,literatura faktu
Langer,Remigiusz Mróz,Robert Jarociński,4.7,3214.0,4.7,2850.0,12.75,"Kryminały, Kryminały klasyczne",Audiobook,Polski,2023-12-19,Tom 1 - Seria z Langerem,M,kryminały
Oko Jelenia. Drewniana Twierdza,Andrzej Pilipiuk,Maciej Kowalik,4.8,293.0,4.8,285.0,9.7,Fantastyka,Audiobook,Polski,2008-09-04,Tom 3 - Oko Jelenia,M,fantastyka
Cel,Simon Kernick,Filip Kosior,4.6,296.0,5.0,285.0,8.63,"Kryminały, Thrillery, Powieści kryminalne",Audiobook,Polski,2022-11-09,Tom 3 - Tina Boyd,M,kryminały
Nieposkromiona. Alex,Kotuńska Agnieszka,Kotuńska Agnieszka,4.6,375.0,4.0,285.0,7.35,"Romans, Gorący romans",Audiobook,Polski,2023-08-19,Tom 2 - Nieposkromiona,F,romans
Moc przyciągania,Gabrielle Bernstein,Ewa Wodzicka-Dondziłło,4.5,292.0,4.7,285.0,7.95,"Rozwój osobisty, Mindfulness i duchowość, Literatura faktu, Ekonomia i biznes",Audiobook,Polski,2022-10-12,Nie dotyczy,F,rozwój osobisty
"Merci, monsieur Dior",Agnès Gabriel,Ewa Konstanciak,4.5,290.0,4.5,284.0,10.62,Biografie,Audiobook,Polski,2022-04-27,Nie dotyczy,F,biografie
Odyssey One. Tom 1. Rozgrywka w ciemno,Evan Currie,Roch Siemianowski,4.7,284.0,4.6,284.0,16.45,Sci-fi,Audiobook,Polski,2019-01-15,Tom 1 - Odyssey One,M,sci-fi
Basia i tablet,Zofia Stanecka,Maria Seweryn,4.8,315.0,4.8,283.0,13.0,"Dla dzieci, Dla dzieci w wieku 0+, Dla dzieci w wieku 3+",Audiobook,Polski,2019-06-21,Basia,M,dla dzieci
Szczęśliwy jak łosoś. O Norwegii i Norwegach,Anna Kurek,Aida Boral,4.3,297.0,4.6,283.0,7.73,"Literatura faktu, Podróże",Audiobook,Polski,2023-09-15,Seria podróżnicza,U,literatura faktu
Herbata. Krótka historia orientalnego naparu,Renata Pawlak,Filip Kosior,4.5,289.0,4.8,283.0,2.2,"Literatura faktu, Społeczeństwo i kultura, Historia",Audiobook,Polski,2024-07-30,Tom 3 - Kulinarne podróże w czasie,M,literatura faktu
Jedno życie wystarczy. Tom 1. Nie czas na miłość,Edyta Świętek,Olga Bończyk,4.8,300.0,4.9,283.0,9.2,Powieści,Audiobook,Polski,2021-03-17,Tom 1 - Jedno życie wystarczy,F,powieści
Strażnik jeziora,Michał Zgajewski,Grzegorz Małecki,4.1,279.0,4.4,282.0,13.02,"Kryminały, Powieści kryminalne",Audiobook,Polski,2024-03-14,Tom 1 - Detektyw Norbert Krzyż,M,kryminały
Sztuka wzbogacania się,Wallace D. Wattles,Tomasz Kućma,4.1,295.0,4.7,282.0,2.72,"Literatura faktu, Społeczeństwo i kultura, Ekonomia i biznes",Audiobook,Polski,2024-07-30,Tom 2 - Poradniki do samodoskonalenia,M,literatura faktu
Egzorcyzmy Dory Wilk,Aneta Jadowska,Joanna Osyda,4.4,287.0,4.5,281.0,15.78,Fantastyka,Audiobook,Polski,2023-03-24,Tom 5 - Heksalogia o Dorze Wilk,F,fantastyka
Szamańskie tango,Aneta Jadowska,Marcin Popczyński,4.6,288.0,4.8,281.0,9.7,Fantastyka,Audiobook,Polski,2023-03-24,Tom 2 - Cykl szamański,M,fantastyka
Diabelska gra,Angela Marsons,Krzysztof Gosztyła,4.7,280.0,4.8,281.0,12.33,"Kryminały, Powieści kryminalne",Audiobook,Polski,2024-03-20,Tom 2 - Kim Stone,M,kryminały
Nie ta chwila,Agnieszka Kowalska-Bojar,Krzysztof Polkowski,4.5,286.0,4.8,280.0,7.78,"Romans, Gorący romans",Audiobook,Polski,2022-03-22,Tom 2 - Seksowni dranie,M,romans
